            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2397075.500000000, A.D. 1850-Nov-14 00:00:00.0000,  4.161614555571492E+09, -1.666071125245359E+09, -6.156696190645146E+07,  1.715241028811660E+05,  4.380005259966193E+05, -1.295532382387142E+04,
2397085.500000000, A.D. 1850-Nov-24 00:00:00.0000,  4.163326969116588E+09, -1.661690757539353E+09, -6.169680181910050E+07,  1.709493068421621E+05,  4.381740937609309E+05, -1.295238467098145E+04,
2397095.500000000, A.D. 1850-Dec-04 00:00:00.0000,  4.165035010113797E+09, -1.657308424320705E+09, -6.182649338823843E+07,  1.705497011573770E+05,  4.382545396507515E+05, -1.300693930985206E+04,
2397105.500000000, A.D. 1850-Dec-14 00:00:00.0000,  4.166738393460439E+09, -1.652924233422296E+09, -6.195609244203377E+07,  1.702017856922762E+05,  4.385061344280577E+05, -1.296019084134282E+04,
2397115.500000000, A.D. 1850-Dec-24 00:00:00.0000,  4.168437319539902E+09, -1.648538395374047E+09, -6.208572401758742E+07,  1.696485167547243E+05,  4.387466495213383E+05, -1.291663693315239E+04,
2397125.500000000, A.D. 1851-Jan-03 00:00:00.0000,  4.170131962431130E+09, -1.644150689982062E+09, -6.221525744367445E+07,  1.691673452414902E+05,  4.388212834004941E+05, -1.297251266623930E+04,
2397135.500000000, A.D. 1851-Jan-13 00:00:00.0000,  4.171822027170992E+09, -1.639761050836925E+09, -6.234464624164963E+07,  1.688492579752649E+05,  4.390051073832612E+05, -1.296565515075076E+04,
2397145.500000000, A.D. 1851-Jan-23 00:00:00.0000,  4.173507530007751E+09, -1.635369748833297E+09, -6.247404996254444E+07,  1.683629233911514E+05,  4.392886173326332E+05, -1.289696164075925E+04,
2397155.500000000, A.D. 1851-Feb-02 00:00:00.0000,  4.175188774282312E+09, -1.630976691450873E+09, -6.260342078345764E+07,  1.678160020639574E+05,  4.394035324840450E+05, -1.292808202705958E+04,
2397165.500000000, A.D. 1851-Feb-12 00:00:00.0000,  4.176865578813927E+09, -1.626581656701560E+09, -6.273262849683940E+07,  1.674750885095367E+05,  4.395210695069617E+05, -1.296125802243292E+04,
2397175.500000000, A.D. 1851-Feb-22 00:00:00.0000,  4.178537758724959E+09, -1.622184854185040E+09, -6.286179869648373E+07,  1.670718592082735E+05,  4.398076358994804E+05, -1.289325936903075E+04,
2397185.500000000, A.D. 1851-Mar-04 00:00:00.0000,  4.180205604253806E+09, -1.617786361873094E+09, -6.299098525640619E+07,  1.664994374464911E+05,  4.399921341542820E+05, -1.288368630593367E+04,
2397195.500000000, A.D. 1851-Mar-14 00:00:00.0000,  4.181869116754075E+09, -1.613385908098079E+09, -6.312002890443730E+07,  1.660895782985845E+05,  4.400701370344159E+05, -1.294024629711045E+04,
2397205.500000000, A.D. 1851-Mar-24 00:00:00.0000,  4.183527990059988E+09, -1.608983565517862E+09, -6.324896970741749E+07,  1.657498909601848E+05,  4.403149481372713E+05, -1.289868137052656E+04,
2397215.500000000, A.D. 1851-Apr-03 00:00:00.0000,  4.185182385983035E+09, -1.604579554422358E+09, -6.337794150712109E+07,  1.652034207222945E+05,  4.405666742917208E+05, -1.284965583683825E+04,
2397225.500000000, A.D. 1851-Apr-13 00:00:00.0000,  4.186832490373168E+09, -1.600173669632927E+09, -6.350682286205387E+07,  1.647083086610423E+05,  4.406469373064695E+05, -1.290321480889805E+04,
2397235.500000000, A.D. 1851-Apr-23 00:00:00.0000,  4.188478009746626E+09, -1.595765820116383E+09, -6.363555215287995E+07,  1.643873623582171E+05,  4.408221319662939E+05, -1.290278201069728E+04,
2397245.500000000, A.D. 1851-May-03 00:00:00.0000,  4.190118917814149E+09, -1.591356272263430E+09, -6.376428752014267E+07,  1.639090401438352E+05,  4.411112255648732E+05, -1.283200563086055E+04,
2397255.500000000, A.D. 1851-May-13 00:00:00.0000,  4.191755508374845E+09, -1.586944962813656E+09, -6.389299537151635E+07,  1.633490667366089E+05,  4.412367837042583E+05, -1.285722313536417E+04,
2397265.500000000, A.D. 1851-May-23 00:00:00.0000,  4.193387613166658E+09, -1.582531667053323E+09, -6.402153642831111E+07,  1.629931027466142E+05,  4.413460162577323E+05, -1.289508067781116E+04,
2397275.500000000, A.D. 1851-Jun-02 00:00:00.0000,  4.195015015898352E+09, -1.578116591174554E+09, -6.415002614954650E+07,  1.625941792997132E+05,  4.416274909173932E+05, -1.282913466017351E+04,
2397285.500000000, A.D. 1851-Jun-12 00:00:00.0000,  4.196637991600324E+09, -1.573699851357657E+09, -6.427853344879341E+07,  1.620148859956595E+05,  4.418205266424016E+05, -1.281256856171415E+04,
2397295.500000000, A.D. 1851-Jun-22 00:00:00.0000,  4.198256571862962E+09, -1.569281191344408E+09, -6.440690066685998E+07,  1.615848623344429E+05,  4.418923031665382E+05, -1.287019540725473E+04,
2397305.500000000, A.D. 1851-Jul-02 00:00:00.0000,  4.199870445722559E+09, -1.564860671761922E+09, -6.453515276470530E+07,  1.612444357999671E+05,  4.421226269215968E+05, -1.283401397941980E+04,
2397315.500000000, A.D. 1851-Jul-12 00:00:00.0000,  4.201479755897684E+09, -1.560438540631423E+09, -6.466343266574204E+07,  1.607004913710007E+05,  4.423761692822719E+05, -1.277994716466541E+04,
2397325.500000000, A.D. 1851-Jul-22 00:00:00.0000,  4.203084726142057E+09, -1.556014617924022E+09, -6.479163091264033E+07,  1.601892687904630E+05,  4.424544859040888E+05, -1.283064541563785E+04,
2397335.500000000, A.D. 1851-Aug-01 00:00:00.0000,  4.204685085909694E+09, -1.551588786142319E+09, -6.491967138997531E+07,  1.598627953857237E+05,  4.426124950865434E+05, -1.283666915721201E+04,
2397345.500000000, A.D. 1851-Aug-11 00:00:00.0000,  4.206280782722825E+09, -1.547161309757645E+09, -6.504771010963392E+07,  1.593937281901726E+05,  4.428968925292620E+05, -1.276473072988514E+04,
2397355.500000000, A.D. 1851-Aug-21 00:00:00.0000,  4.207872124366345E+09, -1.542732153890414E+09, -6.517572987095845E+07,  1.588254142364103E+05,  4.430253680797495E+05, -1.278411494810005E+04,
2397365.500000000, A.D. 1851-Aug-31 00:00:00.0000,  4.209458979665346E+09, -1.538301079576686E+09, -6.530358460027850E+07,  1.584589086373245E+05,  4.431203909060357E+05, -1.282668693819917E+04,
